L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.188116,1.420492,0.06167854,-0.5808259,0.1566786,0.05327649,13.8212,-3.844227,-2.301512,1.570763
L,-0.1946169,1.422168,0.06212164,-0.4483503,0.1156275,0.03055939,9.136458,-2.831175,-1.566733,1.585262
L,-0.2001648,1.419429,0.05678328,-0.2108033,-0.1041002,-0.2028435,9.026167,-8.349079,-8.868699,1.61158
L,-0.2230552,1.424093,0.05650968,-1.493423,0.3043414,-0.01785058,-83.68121,26.64772,12.06938,1.626907
L,-0.2322405,1.426158,0.05624688,-0.3498824,0.07862903,-0.01001026,43.5589,-8.597667,0.2986475,1.65316
L,-0.2470344,1.425459,0.04905477,-1.042785,-0.04922358,-0.5069559,-48.84115,-9.012046,-35.02859,1.667347
L,-0.2543759,1.425548,0.04621436,-0.4852575,0.005870209,-0.187745,36.85135,3.64158,21.09915,1.682476
L,-0.2611126,1.426646,0.04340393,-0.2576974,0.04201627,-0.1075058,8.704731,1.382675,3.069345,1.708618
L,-0.2771339,1.421879,0.03817187,-1.057637,-0.3146956,-0.3453925,-52.80767,-23.54819,-15.704,1.723766
L,-0.2850627,1.420224,0.03567133,-0.547548,-0.1143391,-0.1726818,35.22568,13.83621,11.92705,1.738247
L,-0.2924966,1.419069,0.03349579,-0.2786306,-0.04329604,-0.08154227,10.07937,2.662784,3.416024,1.764927
L,-0.3124319,1.417687,0.02888055,-0.7246148,-0.05022879,-0.1677562,-16.21077,-0.2519936,-3.133732,1.792439
L,-0.3303501,1.413281,0.02404477,-0.6412489,-0.1576792,-0.1730608,2.983462,-3.845389,-0.1898379,1.820381
L,-0.347124,1.409289,0.01897018,-1.137102,-0.2705828,-0.3440064,-33.61386,-7.65374,-11.58841,1.835133
L,-0.3557194,1.407454,0.01638628,-0.319746,-0.06827817,-0.09611934,30.40512,7.525607,9.221246,1.862015
L,-0.3754635,1.401468,0.01184297,-1.227654,-0.3721834,-0.2824955,-56.45224,-18.89633,-11.58856,1.878098
L,-0.3849211,1.396283,0.007998807,-0.3696511,-0.2026428,-0.1502497,33.53516,6.626517,5.168843,1.903683
L,-0.4019266,1.388195,0.00352128,-1.062921,-0.5055511,-0.2798657,-43.33251,-18.93314,-8.101584,1.919682
L,-0.410603,1.384195,0.001812418,-0.3362135,-0.1550074,-0.06621847,28.15995,13.58358,8.278839,1.945488
L,-0.425543,1.377996,-0.01052956,-0.5351776,-0.2220467,-0.4421121,-7.127254,-2.401468,-13.46519,1.973404
L,-0.4421914,1.369526,-0.01494909,-1.070199,-0.5445071,-0.2840981,-34.39254,-20.72856,10.15753,1.98896
L,-0.4511496,1.364382,-0.01504246,-0.3413256,-0.1959802,-0.00355764,27.77179,13.27969,10.68925,2.015205
L,-0.4729297,1.359079,-0.01379781,-0.7998794,-0.1947456,0.04570998,-16.84045,0.04534216,1.80936,2.042435
L,-0.4870619,1.353258,-0.01993498,-0.9102349,-0.374977,-0.3952878,-7.107874,-11.6085,-28.40416,2.057961
L,-0.4927278,1.350086,-0.02515369,-0.2128542,-0.1191468,-0.1960524,26.19865,9.610826,7.484717,2.084579
L,-0.5079696,1.338262,-0.0334214,-0.9730996,-0.7548785,-0.5278447,-48.5372,-40.58774,-21.18299,2.100243
L,-0.5162058,1.332855,-0.037365,-0.3148699,-0.206723,-0.1507643,25.16421,20.95605,14.41583,2.1264
L,-0.5280967,1.32448,-0.0446804,-0.4328138,-0.3048242,-0.2662717,-4.293015,-3.570761,-4.204325,2.153873
L,-0.5416622,1.313589,-0.05194723,-0.89305,-0.7170078,-0.4783918,-30.29838,-27.13497,-13.96434,2.169064
L,-0.5490823,1.308204,-0.0556837,-0.2791511,-0.2025958,-0.1405702,23.09557,19.35275,12.70923,2.195644
L,-0.5560091,1.289488,-0.06608781,-0.2493563,-0.6737589,-0.3745367,1.072581,-16.96136,-8.422535,2.223423
L,-0.5632761,1.274939,-0.07602747,-0.4665725,-0.9340559,-0.6381634,-13.9461,-16.71205,-16.92583,2.238998
L,-0.5681292,1.267874,-0.08090903,-0.1898527,-0.276414,-0.1909673,10.82532,25.72704,17.49437,2.264561
L,-0.5879394,1.26235,-0.09011051,-1.28702,-0.3588677,-0.5977976,-71.28024,-5.356817,-26.43076,2.279953
L,-0.5899745,1.253323,-0.09334088,-0.0768488,-0.3408555,-0.1219853,45.69852,0.6801793,17.96763,2.306435
L,-0.5953487,1.238183,-0.1023516,-0.3479409,-0.980242,-0.5833795,-17.55129,-41.39574,-29.872,2.32188
L,-0.5988759,1.230673,-0.1081715,-0.1331951,-0.2835953,-0.2197733,8.109234,26.30679,13.73051,2.348362
L,-0.6064506,1.223845,-0.1104818,-0.4894434,-0.441205,-0.149279,-23.01906,-10.18399,4.555001,2.363838
