L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.5634476,1.300522,-0.1630895,-0.002260007,-0.2560295,0.3731969,27.79775,14.1915,39.29306,1.674065
L,-0.564975,1.296286,-0.1601797,-0.1115916,-0.3094691,0.2125945,-7.987909,-3.904364,-11.73382,1.687752
L,-0.573514,1.286834,-0.1585271,-0.5855268,-0.6481575,0.113317,-32.49784,-23.22395,-6.80748,1.702335
L,-0.5809539,1.278501,-0.1579054,-0.5405523,-0.6054254,0.04516872,3.267682,3.104759,-4.951404,1.716099
L,-0.5914633,1.271379,-0.1567339,-0.7044154,-0.4773555,0.07852651,-10.98332,8.584186,2.235884,1.731018
L,-0.6005029,1.264511,-0.1562666,-0.7150536,-0.54332,0.03696321,-0.8414963,-5.21792,-3.28774,1.74366
L,-0.6087196,1.257785,-0.1562478,-0.5739284,-0.4697575,0.001308328,9.857481,5.138279,-2.490465,1.757977
L,-0.6104282,1.250141,-0.1579248,-0.1171303,-0.5240586,-0.1149565,31.31456,-3.722462,-7.970223,1.772564
L,-0.6134639,1.242845,-0.1593936,-0.2348176,-0.5643165,-0.1136144,-9.103282,-3.114009,0.1038188,1.785492
L,-0.6171558,1.24398,-0.156882,-0.2691315,0.0827395,0.183093,-2.501441,47.16959,21.6296,1.79921
L,-0.6211456,1.243223,-0.1553053,-0.2916638,-0.05537158,0.1152572,-1.647154,-10.09621,-4.958932,1.812889
L,-0.6257278,1.241163,-0.1542003,-0.3281933,-0.1474898,0.07914639,-2.616393,-6.597876,-2.586406,1.826851
L,-0.6264323,1.233179,-0.1525292,-0.05050246,-0.5723441,0.1197885,19.90566,-30.45475,2.913338,1.840801
L,-0.6283658,1.226094,-0.15137,-0.1384483,-0.5072811,0.08300008,-6.297319,4.658802,-2.634213,1.854767
L,-0.6293358,1.22031,-0.1490197,-0.06844297,-0.4081679,0.16585,4.939836,6.993792,5.846195,1.868938
L,-0.6312509,1.214646,-0.1472676,-0.1394531,-0.4124566,0.1275835,-5.170802,-0.3122938,-2.786479,1.882671
L,-0.6302912,1.210858,-0.146804,0.0672489,-0.2654621,0.03248317,14.48428,10.30038,-6.663992,1.896942
L,-0.6304817,1.206806,-0.1463646,-0.01397635,-0.2972555,0.03224269,-5.959337,-2.332616,-0.01764345,1.910572
L,-0.6314357,1.202374,-0.1459089,-0.06534982,-0.3035913,0.03121427,-3.519009,-0.4339928,-0.07044493,1.925171
L,-0.6343279,1.201016,-0.1471701,-0.218935,-0.102792,-0.09547358,-11.62617,15.20021,-9.590084,1.938381
L,-0.637471,1.198735,-0.1481844,-0.2212549,-0.16058,-0.07139815,-0.1633031,-4.067878,1.694744,1.952587
L,-0.6381171,1.195622,-0.1478981,-0.04836522,-0.2330276,0.02142637,12.94174,-5.423098,6.948427,1.965946
L,-0.6392558,1.191978,-0.1476016,-0.07610913,-0.2435301,0.01982208,-1.854385,-0.7019816,-0.10723,1.980907
